127.0.0.1 - - [06/Nov/2021:12:04:50 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:05:01 +0900] "GET /ServletMemberBoard/MemberList.do HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:05:01 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:05:03 +0900] "GET /ServletMemberBoard/MemberDetail.do?id=bgh5695 HTTP/1.1" 200 3101
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:05:03 +0900] "GET /ServletMemberBoard/picture/noImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:05:07 +0900] "GET /ServletMemberBoard/MemberUpdate.do?id=bgh5695 HTTP/1.1" 200 8741
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:05:09 +0900] "GET /ServletMemberBoard/MemberDetail.do?id=bgh5695 HTTP/1.1" 200 3101
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:05:10 +0900] "GET /ServletMemberBoard/MemberUpdate.do?id=bgh5695 HTTP/1.1" 200 8741
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:05:12 +0900] "GET /ServletMemberBoard/MemberDetail.do?id=bgh5695 HTTP/1.1" 200 3101
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:05:13 +0900] "GET /ServletMemberBoard/MemberList.do HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:05:15 +0900] "GET /ServletMemberBoard/MemberDetail.do?id=meme2 HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:05:15 +0900] "GET /ServletMemberBoard/picture/111.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:05:16 +0900] "GET /ServletMemberBoard/MemberUpdate.do?id=meme2 HTTP/1.1" 200 8736
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:05:35 +0900] "GET /ServletMemberBoard/MemberDetail.do?id=meme2 HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:05:36 +0900] "GET /ServletMemberBoard/MemberUpdate.do?id=meme2 HTTP/1.1" 200 8736
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:05:37 +0900] "GET /ServletMemberBoard/MemberDetail.do?id=meme2 HTTP/1.1" 200 3100
0:0:0:0:0:0:0:1 - - [06/Nov/2021:12:05:38 +0900] "GET /ServletMemberBoard/MemberUpdate.do?id=meme2 HTTP/1.1" 200 8736
